Type,Assembly Number,Revision,,,,,,,,,,
ECCCollectorPart,5847814,'1',,,,,,,,,,
Level,Find Number,Quantity,Reference Designator,Item,Revision,Description,UOM,Note,MPN,Manufacturer,Alternate,Substitute
 , , , , , ,"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B8R2CTN1500X,KYOCERA AVX,,
4,27,0,,5357262-23,'3',"CAPACITOR 36PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B360GTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 36PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B360GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 36PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB360GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 36PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B360GP152X,DALICAP CO LTD,,
4,24,0,,5357262-6,'3',"CAPACITOR 3.3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B3R3CTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 3.3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B3R3CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 3.3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB3R3CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 3.3PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B3R3CTN1500X,AMERICAN TECHNICAL CERAMICS,,
4,14,0,,5357262-7,'3',"CAPACITOR 3.9PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,01521-ATC100B3R9CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 3.9PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B3R9CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 3.9PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB3R9CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 3.9PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B3R9CTN1500X,KYOCERA AVX,,
